;Titile;Genre;Realease Date;Description;Title Of Video;YoTube URL;CoverPhotoTitle;Cover Photo Url ;ScreenShot1 Title;ScreenShot1 URL;ScreenShot2 Title;ScreenShot2 URL
642;11-11: Memories Retold;Adventure;09 November 2018;An adventure game, the action of which was set during World War I. During the game we play the roles of Harry and Kurt, i.e. soldiers standing on opposite sides of the barricade, whose fates are interwoven with each other.;11-11 Memories Retold - Full Gameplay Walkthrough & Ending;https://www.youtube.com/watch?v=kL8G-FAUElY;11-11  Memories Retold.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\11-11  Memories Retold.jpg;11-11__memories_retold_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\11-11__memories_retold_screenshot\1.jpg;11-11__memories_retold_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\11-11__memories_retold_screenshot\2.jpg
278;7 Days to Die;Action;28 June 2016;A post-apocalyptic sandbox FPS developed by a debuting indie studio The Fun Pimps. The game takes you to a near future, when a nuclear war allowed a dangerous virus to spread across the entire world. The virus kills its victims in 7 days, as the title suggests, and turns them into bloodthirsty zombies. You play as one of the few not infected people, fighting for survival in Navezgane County, Arizona. 7 Days to Die allows you to freely explore its open world, adjusting the story to your actions. To help you survive in this hostile environment, the game introduces a well-developed crafting system that lets you gather food and resources to make useful tools and fix or upgrade your hideouts. The authors prepared a campaign for solo players, as well as a score of online modes, both competitive and cooperative.;Trader & Airdrop Runs | 7 Days to Die | Alpha 18 Gameplay | E58;https://www.youtube.com/watch?v=R8BC7UIr8Z8;7 Days to Die.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\7 Days to Die.jpg;7_days_to_die_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\7_days_to_die_screenshot\1.jpg;7_days_to_die_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\7_days_to_die_screenshot\2.jpg
151;A Plague Tale: Innocence;Adventure;14 May 2019;An action-adventure stealth game that takes place in the 14th-century France, consumed by the Black Death. The main protagonists, Amicia and her five years old brother, are trying to find their mother. They must travel through the ruined city while avoiding the members of Inquisition and the groups of hungry rats lurking in the shadows.;A PLAGUE TALE INNOCENCE Gameplay Walkthrough Part 1 FULL GAME [1080p HD 60FPS PC] - No Commentary;https://www.youtube.com/watch?v=Fmd6nSo7FJc;A Plague Tale  Innocence.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\A Plague Tale  Innocence.jpg;a_plague_tale__innocence_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\a_plague_tale__innocence_screenshot\1.jpg;a_plague_tale__innocence_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\a_plague_tale__innocence_screenshot\2.jpg
353;A Way Out;Action;23 March 2018;An action-adventure game developed by Hazelight in collaboration with Electronic Arts, and designed with co-op gameplay for two people in mind. The main protagonists in A Way Out are two convicts: Vincent and Leo. Together they are devising a way to escape from prison and then build their lives anew outside its walls. When it comes to mechanics A Way Out offers quite a variety in gameplay. Over the course of the story campaign the players will take part in fist fights, shootouts, car pursuits, stealth sequences and so on. Other noteworthy features are the advanced AI, and freedom when it comes to tackling in-game challenges. As befits a co-op game, the key to success lies in skillful cooperation between the two heroes. Just for that, A Way Out offers both a local split screen mode and online play. As for technical aspects, the game uses the advanced Unreal Engine 4 technology for generating graphics.;A WAY OUT Walkthrough Gameplay Part 1 - INTRO (PS4 Pro);https://www.youtube.com/watch?v=aRw-guyns3I;A Way Out.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\A Way Out.jpg;a_way_out_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\a_way_out_screenshot\1.jpg;a_way_out_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\a_way_out_screenshot\2.jpg
71;AI War II;Strategy;22 October 2019;Developed by Arcen Games, AI War II is a science-fiction RTS game and a fully-fledged continuation of the studios 2009 debut project. AI War II picks up the story 355 years after the events from the previous installment. In the game, a player yet again takes command of the human army that during the past centuries has been preparing for war against the Artificial Intelligence faction. An enemy, who is much more powerful than expected, decides first to deal with other factions, which gives human operatives time to look for weaknesses in the AIs tactics and defenses. In terms of its gameplay, AI War II builds on the foundation provided by the first installment of the series, and at the same time, it introduces a large number of novelties and improvements. Since the enemy forces are nearly inexhaustible, players task is not to annihilate the enemy but to systematically advance to consecutive strategic objectives. Unlike its predecessor, AI War II delivers a fully 3D experience and allows the players to lead to battle not only humans but also the powerful Spire faction, as well as the, missing until recently, Zenith civilization.;AI WAR 2   - Gameplay Trailer 2018   -  New RTS Galaxy Game 2018;https://www.youtube.com/watch?v=REuGoxzS38E;AI War II.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\AI War II.jpg;ai_war_ii_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\ai_war_ii_screenshot\1.jpg;ai_war_ii_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\ai_war_ii_screenshot\2.jpg
116;ARK: Survival Evolved;Action;29 August 2017;A sandbox survival simulator set in an open world, which draws inspiration from productions such as DayZ. Unlike in the aforementioned title, this time we fight against powerful prehistoric creature instead of zombies. The game is the debut of an independent studio called Wildcard, founded by a former employee of Microsoft Game Studios. The player begins the game defenseless and naked on an unidentified island, and his or her task is to survive in this new, harsh environment. In order to do that, we must hunt and gather various raw materials which will be used to create the much needed weapons and tools. One of the most fun aspects of ARK: Survival Evolved are the meticulously depicted creatures  the game features more than 60 species of dinosaurs and prehistoric mammals. Since the title features o multiplayer experience, meeting other players in the game world will happen and, depending on their attitude, we can fight them or establish valuable alliances.;ARK: Turkey Trial 3;https://www.youtube.com/watch?v=8vz6KcF_BwQ;ARK  Survival Evolved.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\ARK  Survival Evolved.jpg;ark__survival_evolved_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\ark__survival_evolved_screenshot\1.jpg;ark__survival_evolved_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\ark__survival_evolved_screenshot\2.jpg
227;ATOM RPG;RPG;19 December 2018;ATOM RPG is a classic feature game produced by Atom Team studio. The player takes on the role of a resident of the postnuklean Soviet Union.;Let's Play A.T.O.M. RPG - Part 1 - A Russian love-letter to Fallout (complete playthrough);https://www.youtube.com/watch?v=YerxNh1RZGU;ATOM RPG.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\ATOM RPG.jpg;atom_rpg_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\atom_rpg_screenshot\1.jpg;atom_rpg_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\atom_rpg_screenshot\2.jpg
62;Abandon Ship;Strategy;22 October 2019;A sandbox naval strategy game set in golden age of sailing ships. Players assume the role of a captain who leads his crew for far away expeditions. An open world lets them decide which missions to take and how to develop their career. There is a main storyline to discover, in which the players try to foil the plans of a mysterious cult that wants to bring the apocalypse. Abandon Ship offers a system of tactical, real time battles that require usage of various maneuvers and skillful crew management. Players character and their crew gain experience, and the ship can also be upgraded. However, it is impossible to recover a sunken ship, meaning that a captain of such a vessel must build his position from scratch, of course if he survives  otherwise the players must start from the beginning. Abandon Ship uses an interesting visual style, resembling oil paintings of the 19th century.;Abandon Ship - FTL Inspired Ship Combat & Exploration Game - Abandon Ship Gameplay #1;https://www.youtube.com/watch?v=Z9k8QOAnpRE;Abandon Ship.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Abandon Ship.jpg;abandon_ship_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\abandon_ship_screenshot\1.jpg;abandon_ship_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\abandon_ship_screenshot\2.jpg
571;Ace Combat 7: Skies Unknown;Action;18 January 2019;An arcade flight simulator and continuation of the popular series published by Bandai Namco. Like its predecessors, Ace Combat 7 is set in alternative timeline, in which there are different countries, and humans have constructed unique flying units. Game focuses on the story, which we learn both through events during missions and many cutscenes. The gameplay is mostly arcade, with only a few simulations features. Due to that, realism has to move over and make space for dynamic and eye-catching sky fights, including battles with powerful bosses. Each available plane flies slightly differently, resulting in a more varied experience. Ace Combat 7 offers a story campaign for one player and multiplayer mode. Developers made use of Unreal Engine 4 and also added support of PlayStation VR goggles.;ACE COMBAT 7 Gameplay Walkthrough Part 1 Campaign [1080p HD 60FPS PC] - No Commentary;https://www.youtube.com/watch?v=ltsjcM7NDwU;Ace Combat 7  Skies Unknown.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Ace Combat 7  Skies Unknown.jpg;ace_combat_7__skies_unknown_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\ace_combat_7__skies_unknown_screenshot\1.jpg;ace_combat_7__skies_unknown_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\ace_combat_7__skies_unknown_screenshot\2.jpg
90;Afterparty;Adventure;29 October 2019;Afterparty is an adventure for PCs, telling the story of a couple of friends who, after their death, end up in hell and discover that the only way to avoid eternal condemnation is to defeat the Devil in an alcoholic competition. While playing, we explore locations and solve puzzles. The key role is played by the proper use of various drinks, providing bonuses to the ability of the character.  ;Afterparty Official Teaser Trailer;https://www.youtube.com/watch?v=z65oFzGEyQE;Afterparty.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Afterparty.jpg;afterparty_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\afterparty_screenshot\1.jpg;afterparty_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\afterparty_screenshot\2.jpg
