#;Titile;Genre;Realease Date;Description;Cover Photo Url
0;Fallout 4;RPG;10 November 2015;The fourth major installment in the post-apocalyptic RPG series launched in 1997 by Black Isle Studios and Interplay. Starting from the third part, released in 2008, Bethesda acquired the rights to the franchise and took the reins of the subsequent production set in the cult post-apocalyptic universe. The games style is reminiscent of its two predecessors, in which  unlike in the first parts of the cycle  we experience the events from first-person perspective. The plot takes us back to the nuclear wasteland, where the survivors are forced to constantly fight for their lives. Fallout 4 features various new locations and characters, and a whole variety of plot quests and challenging opponents.;https://cdn.gracza.pl/i/h/10/510707758.jpg
1;Divinity: Original Sin II - Definitive Edition;RPG;14 September 2017;A direct sequel to Divinity: Original Sin and another installment in the popular RPG series launched in 2002 by the Belgian developer, Larian Studios. The story takes place once more in the fantasy land of Rivellon and presents events that occur between the first and second game in the franchise. This time around, we assume the role of a sorcerer, who uses the forbidden powers of the Source and is constantly pursued by the Order. We can determine the race and origin of our character, both of which influence the attitude of the encountered NPCs towards him or her to a large extent. The gameplay mechanics do not deviate significantly from the previous game in the series, although the developers did introduce a few novelties, such as a modified combat system, new element combinations as well as Source Powers. Contrary to its predecessor and other titles of the franchise, the production has a clearly darker atmosphere.;https://cdn.gracza.pl/i/h/10/516063381.jpg
2;Outlast 2;Action;25 April 2017;The sequel to Outlast, a 2013 first-person survival horror and a successful debut of the Red Barrels studio. As the authors decided to abandon the themes initiated in the first part of the series, the game does not return to the dark psychiatric hospital located somewhere in the mountains of Colorado. Instead, Outlast 2 takes place in a completely new location and tells the story of new characters. However, original gameplay mechanic characterized by the inability to fight encountered enemies, remained unchanged. Player's character has no combat skills and survival consists mainly of avoiding direct confrontations. In some cases, an escape turns out to be the only solution. When fleeing, the game's complex model of movements, inspired by the parkour technique, is a great help.;https://cdn.gracza.pl/i/h/10/592189685.jpg
3;Borderlands 3;Action;13 September 2019;The third main part of the famous Borderlands series - humorous and cooperative FPP shooter with a strong RPG element. The action takes place a few years after the Borderlands 2 events. The title was created by Gearbox Software studio, also responsible for previous editions and, among others, the Brothers in Arms series.;https://cdn.gracza.pl/i/h/10/511833133.jpg
4;Counter-Strike: Global Offensive;Action;21 August 2012;The next installment in a cult online fist person shooter series, which originated in the early 2000's as a Half-Life modification. This game was created by Valve Corporation, who purchased the rights to the massively popular mod and later developed its commercial editions. The core gameplay is built upon competition between two teams of players: terrorists and counter-terrorists. Eliminating opponents is rewarded with cash, which can be spent on new gear and weapons. There are four main game modes: Arm Race, Demolition, and two tournament varieties. The authors did not try to revolutionize the classic gameplay mechanics, mostly focusing on visual improvements to match modern standards. Most of the in-game maps are based on the original ones, and most of the changes relate do weaponry.;https://cdn.gracza.pl/i/h/10/1797516578.jpg
5;League of Legends;Action;06 October 2009;An extremely popular MOBA (Multiplayer Online Battle Arena) game, produced by Riot Games. League of Legends is set in Valoran, a fantasy world that has been torn by a bloody war for centuries. However, the opposing nations found another way of resolving disputes  duels fought by their representatives in the arenas. The game has been designed with multiplayer mode in mind, based on rivalry between two teams composed of several people. Each player controls one character. The key to the victory lies in cooperation between the team members and the ability to make good use of the individual strengths of each character. The game is using free-to-play business model with optional micropayments for some items and features.;https://cdn.gracza.pl/i/h/10/424239290.jpg
6;Citadel: Forged with Fire;RPG;01 November 2019;Citadel: Forged with Fire is a multiplayer fantasy RPG developed and published by Blue Isle. The production is meant solely for online play and is sandbox in nature, letting the players choose their own career path. The users assume the role of arcane arts adepts and use their spell knowledge to explore a fantastical realm that is full of dangers and secrets, perform quests, build strongholds and siege engines, and compete with other people. Players can erect their own houses, which are equivalents of guilds, and establish their rules. Then, we can fight against similar groups for influence, territory, and treasures alongside our comrades. The gameplay mechanics are ruled by the physics engine, so the numerous available spells realistically impact the objects in the environment. The game is more fun thanks to the possibility of flying.;https://cdn.gracza.pl/i/h/10/424264265.jpg
7;Luigi's Mansion 3;Arcade;31 October 2019;Luigi's Mansion 3 is a fun arcade game where, as the title brother of the famous Mario, we explore the haunted residence. The game is mainly about fighting ghosts, which first have to be weakened with light, and then pulled in with a vacuum cleaner.;https://cdn.gracza.pl/i/h/10/440516109.jpg
8;God of War;Action;20 April 2018;Another major entry in the famous hack-and-slash action game series that is one of the most important franchises available exclusively on subsequent generations of the PlayStation consoles. In previous parts of the series, we have been following a story of Spartan warrior named Kratos, and the gameplay concentrated mainly on spectacular and incredibly bloody action and eye-catching fighting system. The new God of War, developed by one of the Sony Computer Entertainment's subsidiaries, is a reboot of the series and the first installment created with PlayStation 4 in mind, resulting in a completely new, intriguing storyline as well as improved graphics and sound that make full use of the power of eighth generation consoles.;https://cdn.gracza.pl/i/h/10/448068957.jpg
9;The Witcher 2: Assassins of Kings;RPG;17 May 2011;An action RPG game and the second chapter of the adventures of Geralt of Rivia. Similarly to its predecessor from 2007, The Witcher 2: Assassins of Kings was developed by CD Projekt RED. The game follows the foiled plot to assassinate King Foltest. With the appearance of a mysterious man called Kingslayer the titular witcher becomes entangled in a complicated political intrigue, in which the fate of several kingdoms will be decided. The developers tried to faithfully recreate the world known from the literary works of Andrzej Sapkowski while enriching it with new elements. Great emphasis was put on moral choices leading to one of 16 possible endings, and on the completely rebuilt, dynamic combat system. The Witcher 2: Assassins of Kings is distinguished by excellent visuals powered by the developers proprietary REDengine.;https://cdn.gracza.pl/i/h/10/1119502828.jpg
